NAMESPACE,POD,CONTAINER,CMDLINE,STACK TRACE ID,STACK TRACE
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12466078.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;net/http.(*response).Write;net/http.(*response).write;net/http.(*conn).hijacked;[k] asm_common_interrupt;[k] common_interrupt;[k] __irq_exit_rcu;[k] do_softirq_own_stack;[k] asm_call_sysvec_on_stack;[k] __softirqentry_text_start;[k] net_rx_action
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12462800.0,runtime.mstart.abi0;runtime.mstart0;runtime.mstart1;runtime.sysmon;runtime.usleep.abi0;[k] entry_SYSCALL_64_after_hwframe;[k] do_syscall_64;[k] __se_sys_nanosleep;[k] do_nanosleep
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12463743.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprint;fmt.(*pp).free;[k] asm_sysvec_apic_timer_interrupt;[k] irqentry_exit_to_user_mode;[k] exit_to_user_mode_loop;[k] schedule;[k] __schedule;[k] finish_task_switch;[k] _raw_spin_unlock_irq
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,1067.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;fmt.(*pp).doPrintf;fmt.(*pp).printArg;fmt.(*pp).fmtString;fmt.(*fmt).fmtS;fmt.(*fmt).padString;runtime.gcWriteBarrier;runtime.wbBufFlush.abi0;runtime.systemstack.abi0;runtime.wbBufFlush.func1;runtime.wbBufFlush1;runtime.findObject
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12460524.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.systemstack.abi0;runtime.gcAssistAlloc.func1;runtime.gcAssistAlloc1;runtime.gcDrainN;runtime.markroot;runtime.markroot.func1;runtime.scanstack;runtime.scanblock;runtime.findObject
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12466982.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.systemstack.abi0;runtime.gcAssistAlloc.func1;runtime.gcAssistAlloc1;runtime.(*gcWork).tryGet
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12466614.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.systemstack.abi0;runtime.gcStart.func2;runtime.startTheWorldWithSema;runtime.notewakeup;runtime.futex.abi0;[k] entry_SYSCALL_64_after_hwframe;[k] do_syscall_64;[k] __se_sys_futex;[k] do_futex;[k] wake_up_q;[k] try_to_wake_up;[k]_raw_spin_unlock_irqrestore
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,594.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;fmt.newPrinter;runtime.gcWriteBarrierSI;runtime.gcWriteBarrier
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,12465121.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;runtime.convTstring;runtime.mallocgc;runtime.(*mcache).nextFree;runtime.(*mcache).refill;runtime.(*mcentral).cacheSpan;runtime.(*mcentral).grow;runtime.systemstack.abi0;runtime.(*mheap).alloc.func1;runtime.(*mheap).allocSpan;runtime.(*pageCache).alloc
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,494.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;net/http.(*response).Write;net/http.(*response).write;net/http.(*conn).hijacked.func1
default,default/hello-5fdd6b8999-qf47s,hello,/hello-app,324.0,runtime.goexit.abi0;net/http.(*Server).Serve.func3;net/http.(*conn).serve;net/http.serverHandler.ServeHTTP;net/http.(*ServeMux).ServeHTTP;net/http.HandlerFunc.ServeHTTP;main.hello;fmt.Fprintf;net/http.(*response).Write;net/http.(*response).write;net/http.(*conn).hijacked;net/http.(*conn).hijacked.func1;sync.(*Mutex).Unlock
